session_id,recipe_id,recipe_name,user_id,user_name,test
8852c561-d27d-4c4d-9a13-7bac7aa800b3,suDZAr4TiY0pfxOB0Bwp,Chunky Mushroom Soup,bP5ZHbUKJjzPrUTCj3Tu,UNKNOWN,test
9691425e-def0-4426-abde-401c0f0d4f8f,ae597616-d969-4f2f-9f2f-cf614938dba5,Cucumber Mayo Sandwich Filling,any,React Office,test
47db85ae-a92b-4caa-98f6-1429e214ba2b,OSakRif7wiFoVemjZZ8n,Aloo Tamatar Sabzi- Vivek's version,4FOUfjiOktv91IykJtij,UNKNOWN,test
9852f0e3-2f30-4cb1-ad32-0d8511acdf89,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
accb304f-77cd-4928-b3d7-d3a1f269c7ae,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,default_user,React Office,test
f5b2a7ac-f7ca-4074-954f-d8e650efc84a,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,default_user,React Office,test
1e57b37a-44cd-43b4-8e23-e64663eda5d5,42kfAHreizjCc7yYTnJb,New Recipe,B9p9x5IL9iDQxs1kV684,Chaitanya,test
8dc34cc4-75e8-425f-81e3-1e8425895052,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
5d76ab13-5fc0-4784-b70c-622dd6a6abf0,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,default_user,React Office,test
45b43a34-f0e9-4fd1-817a-b1820a0a968d,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
96e979fa-8f8a-4831-b6d0-e64892cc465a,B7TbMEmcb8coASIl2jA4,Chilli Garlic Noodles,B9p9x5IL9iDQxs1kV684,Chaitanya,test
e5a2cdcc-99e2-4966-85cc-d5c304bda7ca,za0JiftvqtKRJviwx8xT,Pulao,default_user,React Office,test
1c1acbd1-5bfb-44fc-9e5d-4cd40b455dbe,LEIAd8UidBJysln0G9Pw,Wai Wai Bhel,any,React Office,test
05598923-15ca-4e13-8465-31b3f163ff6c,M7UWiRrF4FPnZhJ3cBVz,Beetroot Pasta,E968jzYc2O3UuFgPmWbF,Siddhy,test
a9604e9d-214e-4433-9e89-0309880ba773,sXmnR3IAxj23vAnLSvcS,Thai Curry (Veg),any,React Office,test
4ffd8753-af01-4259-8756-bc399fa362fe,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
0cdc2255-4927-4675-a211-26f38fffb85d,3GPGIgzCUhFzMFxvBIy8,Amaranth Coconut Soup ,any,React Office,test
209cf669-455d-44c1-9251-971910d81e0f,v1ukDmkQXQQzmfjnribC,Pudina Palak Khichdi,any,React Office,test
34bbb621-7c6b-45e3-8cc5-ce9fb5c2da49,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
c80418bd-156c-40d3-b7e7-222f7d72c76b,xl8y6iJ9SvUWAetLtOjn,Chicken Noodle Soup,bP5ZHbUKJjzPrUTCj3Tu,UNKNOWN,test
f0971e69-ef42-48e8-9ae5-e892b15d6256,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
7c5f714e-283c-46e2-b7ff-1c1f3c574400,B7TbMEmcb8coASIl2jA4,Chilli Garlic Noodles,default_user,React Office,test
9a0a8ffa-39bf-42c3-b6c1-122a96c8c116,9M5QyHFkA78NbDLTNOr1,Dahi Lahsooni Chicken,any,React Office,test
12eb4a17-b8ae-42ba-94d5-960b63782b83,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,any,React Office,test
0388e55a-0529-4d1c-b965-9b2292602f82,a1ffeb40-10b5-4ccd-b59f-ab36fc715906,Bangalore Style Sambar,any,React Office,test
b1465a64-1b11-4af7-8c48-21ce6d5ae9d0,cOimnQuQxrHhBZergDFW,Masoor Dal Khichdi,default_user,React Office,test
5c68e0a7-ff23-4a85-b042-d6ed8a65d2ee,0twVEtLXNufk11kDaOwD,Paneer Stir Fry,default_user,React Office,test
56cb17d4-0090-4fab-8f5c-20c99a51968a,Oj3K8k0fnAdubawHx3ZG,Red Sauce Pasta,4WE4rWXhoNeNw9nGxUsr,Ryan,test
48115b3c-717b-4ea4-9389-ab5042ecde43,Fa4WniMC5uLnapeECQxK,White Sauce Pasta,default_user,React Office,test
0e4cfbd9-cded-43ae-acf8-e5461d744717,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
6d958597-ac5a-40d0-a870-f3297ca653d2,VEhWuayzGQuT4waQJSp5,Thai Curry (Chicken),default_user,React Office,test
a54b1287-b79e-4f00-a508-2656028817da,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
0def0e5f-5067-4659-8892-15132bb84493,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
f5ef2a3a-120d-450d-8390-79b444899e0b,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,default_user,React Office,test
e594554b-1661-4c08-b5aa-268dac4ed3f2,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
